# url=https://m.place.naver.com/restaurant/2016309840/review/visitor, place_name=고가담 위례본점
created,visited,visit_count,author_nickname,body,id,author_id,rating
25.12.27.토,25.12.27.토,1,roc****,인터넷 보고 처음 와봤는데 너무 친절하시고 고기가 다 맛있네요!! 애용 하려고요~,694f9120062ae26d0f6fb489,3NEge,
25.10.19.일,25.10.19.일,1,qazaa11,지인 추천으로 와봤는데 너무 맛있어요! 38주차 임산분데 임신기간동안 무알콜 맥주 있는 고깃집 처음이에요 심지어 무료제공 감동 ㅠㅠ 남편도 너무 맛있다고해서 자주 올 것 같아요 :),68f4c294620051d7cfce0dae,3XsFd,
25.12.12.금,25.12.11.목,1,yy1****,편하게 맛있게 너무 잘먹었습니다 재방문의사있어용,693be920a849c28351874771,d0ozg,
25.11.28.금,25.11.28.금,1,허소현변호사,주차도 편하고 고기도 맛있어요 식사도요ㅎ 반찬도 다양하게 많이 나오고 목살 먹었는데 단백고소~~ 무엇보다 정말 친절하게 응대해주셔서 행복한 식사였어요 다음에 또 올게요,69297b00aa8906af6058b529,6srp9,
25.11.29.토,25.11.29.토,2,김느,"재방문입니다. 너무 맛있어요. 친절하고, 깨끗해요. 서비스도 좋아요.",692ae22db633b6fd95ef16ae,2xjuJ,
25.11.7.금,25.10.31.금,1,HINGCHI,맛있고 친절하고 다양해서 너무 좋더라구요!! 임산부 무알콜 맥주 무료라니ㅎㅎ 넘나 행복,690d8387d1f6078427faf627,4EFPY,
25.11.7.금,25.11.7.금,1,이나연1429,"밑반찬들 퀄리티도 좋고 서비스도 좋아요!!!
매장도 깔끔해서 또 오고 싶어요!!",690ddfb4eea8fe44cadb42b8,6iV5V,
25.10.14.화,25.10.13.월,1,twerp9993,"당근에서 주기적으로 칭찬 글이 올라와서 광고아니고 진짜인지 확인차 와봤습니다
같이 간 동행이 반찬에 진짜 예민한데 반찬 다 맛있다고 했고 저는 삼겹살 맛있게 먹었습니다!",68edc4d80a89a685ba9b7228,ky8c,
25.12.24.수,25.12.24.수,3,근성가이,또왔습니다~너무 맛있네요ㅎ,694bc0ba3acb1950f257f949,1dMoc,
25.11.15.토,25.11.14.금,6,백설공주184,낚시질 쿠폰 보내지 마세요. 사용할 수 있는것처럼 보내고  계산때 사용못하네요. 사용하지 않음 누르라네요. 야채 상태도 예전 같지 않고 실망입니다,69184fcc8f51a235936ae518,JTkT,
25.11.14.금,25.11.14.금,1,jb63,새로 생긴 곳이라 와봤는데 고기도 너무 부드럽고 맛있어요. 직원분들도 친절하셔서 기분 좋게 먹고가요!,691708c3927db1ac28ec683d,18Dy8,
25.8.28.목,25.8.27.수,1,담520,서일로마을에 새로 오픈해서  오며가며 궁금했는데 오길 너무 잘함 밑반찬도 정갈하고 쌈장 너무 맛있고 쌈채소 다양해서 너무 좋음 특히 생바질 미쳤어요ㅠㅠㅠㅠㅠ 고기도 구워주시고 사이드도 다 맛깔남 수향미 들어간 공기밥도 맛있음ㅠㅠㅠ 공간도 쾌적!!,68b031299384c1a5651c2f23,4Baf,
25.11.30.일,25.11.29.토,2,bbuddung,재방문한 곳인데 남편이나 저나 너무 좋아해요!!! 반찬도 맛있고 사이드메뉴까지 완벽!!!,692bb1318b631427d6a23976,dfmIx,
25.8.31.일,25.8.31.일,1,fereto,"고기육질이 넘 부드러워요
숙성고기라서 그런지 입안에서 살살녹고
칼집을 넣어 더욱 부드럽고 맛나네요 ^^
보리쌈장과 바질야채가 넘 신선하고 맛났어요~ 전번적으로 깔끔하고 깨끗하고 고기육질이 최고네요 자주 방문할듯요 ^^",68b422eb44b1e66c51279404,cy5zU,
25.11.8.토,25.11.8.토,1,너구리는개굴,너무 맛있어요 두툼한 고기에 직접 구워주셔서 드 맛있어요 다시 방문 하고 싶어요 번창하세요,690f148da70fcc8cbad6110b,157Ud,
25.8.22.금,25.8.22.금,1,희도리짱,"사장님,찐 단골 예약할께요~^^

1.손님에 대한 예우
2.바질이 포함된 신선한 야채와 정갈한 사이드
3.풍미좋은 고기를 맛깔나게 구워주심
4.주류 이벤트로 한병에990원~
5.위생적이며 세심한 배려가 있는 화장실",68a83b578bed42803ed4a0d6,3MWbk,
25.10.15.수,25.10.13.월,1,꿍7774,고가 담 다녀왔는데 내부도 엄청 깔끔하고 직원 분도 진짜 친절하셨어요 그리고 고기는 진짜 말할 것도 없이 너무 맛있구요 그리고 야채쌈도 엄청 다양하게 주셔서 정말 좋았습니다!!,68ef22effdf1c400a7167737,1DXSV,
25.10.17.금,25.10.17.금,1,소  니,"도보 1분거리 거주.
근처 고깃집 상당히 많음.
신규 오픈해서 방문함.
솔직히.. 맛있음 근처 비슷한 가격대의 고깃집많은데
서비스좋고 반찬맛있고 직원들 개친절함.
재방문의사있음 👍",68f23b604674032d1a2c4040,1UtX5,
25.11.22.토,25.11.22.토,1,얼죽아30,"직접 구워주시는 고기 넘 맛있어요~
찍어먹을 소스류도 다양하고 미나리, 묵은지 있는것두 너무 좋아요!!!!
밥도 맛있어요 공기밥 꼭 시켜서 드셔보세요~~ 추천입니당",692199e635ae0000cf187a02,2GRST,
25.12.24.수,25.12.24.수,1,sia****,처음 왔는데 너무 친절하시고 고기도 직접 구워주셔서 좋았습니다 :),694bde780a52b6a238bafa32,am78W,
25.11.14.금,25.11.14.금,1,쩌녕,동네에 고깃집이 새로 생겨서 우연히 방문했는데 고기도 맛있고 직원분들도 너무 친절해서 기분이 좋았습니다!!! 아이랑 같이 식당가기 힘든데 아기를 위한 서비스에 감동받고 갑니다 🥹🫶,69170f1f439379c9934c516f,1FePm,
25.11.8.토,25.11.8.토,5,백설공주184,언제나 고기 맛있고 친절하시고 너무 좋아요~,690f0cb4fa7f534bdc71ee56,JTkT,
25.10.11.토,25.10.11.토,1,DPT,"N번째 오는 삼겹살 맛집..
너무 맛있게 잘먹었습니다.
김치찌개가 킥인데 못찍어서 아쉽
항정살 삼겹살 김치찌개 조합 강추",68ea4c272e7e956dc927d778,307Y5,
25.10.22.수,25.10.22.수,1,가리나,"새로생긴 집이어서 방문했는데 맛있습니다.

찬 구성도 좋고 강추요

다음에 가족과 함께 또 올게요",68f8c0e944b4969664e23fc2,35BYh,
25.12.27.토,25.12.27.토,2,sy6****,"친절 하시고
음식이 맛있어요~",694f8e4def1be091e51beafd,dsTgq,
25.11.18.화,25.11.18.화,3,초코2324,"넘맛있어서 1주일만에 2번째 방문했어요 ㅎㅎ
오늘도 역시나 맛있네요! 
다음에 또올게요!",691c56a5a09aac772fd0d184,1auUr,
25.11.25.화,25.11.25.화,1,래빗5119,"아이고 너무 맛있어서 다먹은 사진만 남깁니다
동네 새로 생겼다고 해서 왔는데 인생 고깃집!!!
단골 예약합니당 ㅎㅎㅎ
다음에 또 올게요",69259aeed2273ffceeaff9d5,2kXOx,
25.10.20.월,25.10.20.월,2,단본맘,"맛있어서 예약하고
또 방문
목살 삼겹살 향정살
그리고 계란찜
김치찌개도 완전 맛있어요

대박나세요 사장님",68f619084418c552d02eeb68,1ZBRa,
25.10.8.수,25.10.8.수,1,kuhehet,"동네에 새로 생겨서 와봤는데 기대 이상으로 너무너무 맛있게 먹었어요🤩
고기질도 좋고, 양념 소스/ 쌈채소 다양하고, 사이드로 나오는 음식들도 맛있네요😋
사장님도 정말 친절 하세요~ 기분좋게 먹고 갑니다
번창하세요☺️",68e61e12d5241398cf1787b7,2ntYN,
25.10.10.금,25.10.10.금,1,나나몽쓰,"남위례에 언제 이런 맛집이 생겼됴
٩(๑’o‘๑)۶ 고기도 맛있지만, 다양한 반찬과 찌개가 고기와 즐기기에 너무 좋았다능..♡",68e8ce1a2822c09dab55b6f5,1SJah,
25.11.10.월,25.11.10.월,1,kjsl1105,"여자친구랑 성남놀러와서 찾아온 새로생긴곳
폭식했습니다 고기 질이 너무 좋고 직원도 너무
친절햇습니다 다음애 재방문 의사 백프로에요
김치찌개 강력추천",6911c0169d83bf90ae51cc30,19ZYb,
25.11.18.화,25.11.18.화,1,두부9128,맛있다는 소문듣고 왔는데 너무 맛있게 잘 먹었어요! 반찬도 다양하고 고기 직접 구워주셔서 편하게 먹을 수 있었습니다~ 위례에 맛있는 고깃집이 생겨서 좋아요♡,691c56d2b3923594c94d5038,431Dw,
25.12.12.금,25.12.12.금,2,키득키득ㅎ,고기 일일히 다구워주시고 분위기도 좋고 맛나요~!!,693bff9a797ff18b8c9bbb9d,1aTnZ,
25.12.26.금,25.12.19.금,1,kte1116,"남위례  삼겹살 맛집입니다.
쌈이 다양하고 고기도 부드러워요.
직접 구워주는 서비스와
종업원분들이 정말 친절합니다.",694e1a57a5c81643700ddaa8,1euDu,
25.11.19.수,25.11.19.수,1,필쏘굿237,"고기상태 육즙, 미나리, 반찬 모두 최고!!
고기 직접구워줘요~~ 젊은사람들 하는만큼
재방문의사 있습니다!!
회식장소 추천!!",691da0040895703394106887,7P0Dw,
25.11.20.목,25.11.20.목,1,기마현119,직원분들이 다들 친절하고 고기도 잘 구워주셔요!그리고 맛이 너무 좋아요!! 고기도 밥도! 밥이 진짜 맛잇어요...🥹 밑반찬도 다 맛있었습니다. 싹싹 긁어먹어요~,691ee51b4f51d3436be64f01,aWNx,
25.12.12.금,25.12.12.금,1,채몽42,"둘이서 왔는데 양이 많아서 배부르게 먹고갑니다 서비스 많이주셔서 감사해용 !! 
이번이 두번째 방문입니당 ㅎㅎ 자주올게요 번창하세요",693bffea06db37441f2cbae4,3kfTm,
25.12.27.토,25.12.26.금,1,sy6****,"직원분 친절 하시고~
음식이 너무 맛있어요~~",694f8ee97f3f71b73164c93b,dsTgq,
